new_year,country_iso3,constant_2022_USD_billions,variable_name,dataset_name,source
2023,LTU,7103563.607397932,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,LTU,490969498.48151505,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,LUX,1322891.0350859142,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,LUX,14042997.141681243,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,LUX,35209253.703055866,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,LVA,17299344.304969646,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,LVA,3184039.974527585,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,LVA,77913750.55596094,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,MLT,376515.1407552217,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,NLD,105322478.56260931,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,NLD,0,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,NLD,0,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,NOR,3251019515.7686653,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,NOR,45303393.62957647,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,NOR,3282960891.7866497,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,NZL,21981160.491813015,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,NZL,425991.2654674349,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,POL,4879293.290127039,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,POL,782086517.6600181,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,PRT,41245007.14236164,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
